Mechanism = FCFS (Non-Preemptive) CPU Scheduling

INPUT data in "in.dat"
------------------------------------------------------------------------
1 0 7 1//  	    ID: 1	Arrival: 0 	Burst: 10	Priority: 1
2 1 2 1//		ID: 2	Arrival: 2	Burst: 6	Priority: 1
3 2 5 0//		ID: 3	Arrival: 1	Burst: 2	Priority: 0
4 3 4 3//		ID: 4	Arrival: 7	Burst: 1	Priority: 3
------------------------------------------------------------------------

OUTPUT data in "out.dat"
THE DETAILED TABLE IS LIMITED TO 4 PROCESSES ONLY
-----------------------
1,0,7       // ID: 1   Start: 0   End: 7
2,7,9       // ID: 2   Start: 7   End: 9
3,9,14      // ID: 3   Start: 9   End: 14
4,14,18     // ID: 4   Start: 14  End: 18


CURRENT_TIME, P1_BURST_TIME_REMAINING, P2_BURST_TIME_REMAINING, P3_BURST_TIME_REMAINING, P4_BURST_TIME_REMAINING, CURRENT_PROCESS_HELD_BY_CPU, P1_WAITING_TIME,P2_WAITING_TIME, P3_WAITING_TIME,P4_WAITING_TIME,QUEUE (space separated)
- : indicates the process has not yet arrived
0,10,-,-,-,1,0,-,-,-,1 
1,9,2,-,-,1,0,0,-,-,2 
2,8,2,5,-,1,0,1,0,-,2 3 
3,7,2,5,4,1,0,2,1,0,2 3 4 
4,6,2,5,4,1,0,3,2,1,2 3 4 
5,5,2,5,4,1,0,4,3,2,2 3 4 
6,4,2,5,4,1,0,5,4,3,2 3 4 
7,3,2,5,4,1,0,6,5,4,2 3 4 
8,2,2,5,4,1,0,7,6,5,2 3 4 
9,1,2,5,4,1,0,8,7,6,2 3 4 
10,0,2,5,4,1,0,9,8,7,2 3 4 
11,0,1,5,4,2,0,9,9,8,3 4 
12,0,0,5,4,2,0,9,10,9,3 4 
13,0,0,4,4,3,0,9,10,10,4 
14,0,0,3,4,3,0,9,10,11,4 
15,0,0,2,4,3,0,9,10,12,4 
16,0,0,1,4,3,0,9,10,13,4 
17,0,0,0,4,3,0,9,10,14,4 
18,0,0,0,3,4,0,9,10,14,
19,0,0,0,2,4,0,9,10,14,
20,0,0,0,1,4,0,9,10,14,
21,0,0,0,0,4,0,9,10,14,

------------------------
